7:302,17,650,58,616,29,1140,8,84,62
18:18,17,1086,17123,27705,8,616,518,650,508
19:5145,2048,4600,13894,26191,9497,13192,43956,14010,1477
36:17,8,61,508,1382,84,654,616,70,302
37:245,518,61,2302,4268,230,3280,3521,1405,2193
41:616,654,17,302,564,542,101,518,486,285
42:39505,18604,9936,15383,18700,13337,19003,10856,16505,31515
43:1344,32,1023,654,262,564,698,616,76,542
44:302,29,17,58,616,654,76,84,650,70
45:347,13571,26365,1475,23970,367,13986,535,15088,3613
46:891,23847,1119,10869,616,224,2935,3141,6732,1152
59:84,542,1102,8,518,2302,508,616,947,65
60:650,302,616,58,356,17,3088,364,542,29
69:84,17,654,8,736,302,518,354,650,70
70:76,698,472,1023,542,656,245,3757,787,2139
94:245,94,363,17,32,103,6,2302,1344,674
106:25910,76,10048,8167,367,654,23528,12332,17527,81
115:302,654,616,58,29,17,32,542,650,518
116:76,3137,81,508,302,138,226,17,5078,354
142:302,542,238,861,3101,1196,17,654,616,205
143:3231,483,394,1196,2837,54193,16523,31310,84,193
148:8,17,103,518,508,542,931,65,1405,327
150:616,61,58,8,1405,17,15,2030,564,654
156:4414,8,999,76,327,302,167,616,17,65
161:17,616,302,1196,289,15,8,486,58,861
171:17,58,29,8,650,302,787,518,1403,6
172:29,654,162,542,616,363,1578,17,58,285
174:8,518,117,873,1023,245,899,1208,483,654
177:302,654,17,650,58,616,29,1140,84,1102
196:899,1187,17,245,496,131,76,1023,508,2162
202:17,564,654,302,138,124,70,4456,15,1405
211:815,1131,781,2543,8772,7334,12861,40840,3929,6774
217:245,518,5117,103,4268,1987,2302,9572,65,3233
220:3378,10178,186,7649,45641,46413,13192,40356,1342,22713
223:17,542,15,1511,61,1196,650,302,518,616
224:518,245,353,84,8,654,1951,58,616,94
225:61,518,17,58,1987,1511,114,3313,302,15
228:302,616,17,15,650,8,542,58,486,518
229:168,2715,11467,1400,226,297,481,301,9874,8733
231:518,302,1405,616,542,17,8,6,15,32
232:737,60930,102080,37449,40084,2476,61943,103819,41443,108129
238:17,4513,564,1340,302,15,364,3618,1002,4444
241:654,58,17,650,302,29,616,518,1050,190
245:81,16786,262,650,3939,5767,780,3137,508,35088
249:17,361,654,302,518,8,58,29,1102,236
250:508,1462,1023,76,521,1376,11902,6472,70,25575
253:1790,17,76,302,65,15,29,1023,168,70
257:518,616,58,17,542,486,654,787,15,302
272:616,302,654,58,8,32,518,29,15,6
273:654,302,17,518,650,8,285,486,29,1405
288:1196,15,17,650,302,62,3101,542,616,483
290:15487,76,4697,327,508,14754,1382,165,1644,3730
291:8,84,17,518,1342,542,486,1196,483,2200
292:518,542,17,616,8,15,3233,245,999,787
294:17,508,654,616,302,65,76,15,364,1405
328:1103,13205,250,441,35013,12725,66020,73927,2715,5928
